Longitude,Latitude,MOD13Q1_006__250m_16_days_EVI_doy2011081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011241_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012241_aid0001_tif
-86.6032028,34.9597015,5080,5289,3472,5124,3484,2744,2458,7089,5770,5490,6459,2641,2453,4044,2209,2172,5217,3886,2751,3450,2926,2874
-86.6007004,34.9597015,2844,5215,2193,2808,2160,2132,4347,7070,8117,6214,5887,5689,5293,3867,2163,2176,2779,2441,3189,6144,6457,4771
-86.5981979,34.9597015,3423,4366,4009,3029,2692,2772,5356,7350,8117,5058,5887,6250,6244,6439,2705,2466,2331,2429,3631,6144,7414,7514
-86.7479019,34.9580002,2746,4497,2910,4069,5909,4493,5342,5647,4195,4280,3261,3316,4766,4265,4271,6049,5172,4078,4491,4787,4614,3723
-86.735199,34.9580002,4942,6571,5132,5536,5373,4725,5955,5963,6642,5178,3279,5201,5781,4931,1868,1977,5261,5510,6135,6115,4694,2497
-86.6311035,34.9576988,3161,4694,1928,2843,2141,2220,4126,7115,6904,7632,5359,5584,5226,3806,2632,2236,3594,2875,2748,5706,6724,7877
-86.6286011,34.9576988,3067,3824,1798,2019,2321,2817,4348,8754,8839,8651,6245,6500,6758,3939,2030,2373,2101,2063,2159,5646,8545,7923
-86.6260986,34.9576988,2520,3824,3022,1932,2153,3730,5270,7220,9133,7959,6245,6397,6883,4068,2092,2104,1866,1958,2720,5898,8476,7607
-86.623497,34.9576988,2558,4032,2402,2291,2421,2821,5409,6989,6407,6783,5353,5459,5745,6363,2773,2604,2239,2596,2669,5204,6191,7513
-86.6210022,34.9576988,2138,4032,1766,2142,2281,2442,3955,6989,5806,6373,5050,5429,6916,6377,2699,2277,2046,2598,2958,5083,8228,7729
-86.6184998,34.9576988,2209,4948,1975,2365,2509,2904,4435,6554,8220,8543,7197,6712,6057,6502,2753,3446,2959,3319,2986,5934,7845,7420
-86.6032028,34.9575996,7475,7373,6577,5407,3463,3301,2184,3527,8593,7002,7983,2340,2202,3133,2789,4596,5643,3547,2115,3386,3019,3372
-86.6007004,34.9575996,4316,5222,2709,2563,2719,2625,3828,6253,8688,6667,7362,5241,4602,3133,2162,3355,2415,3547,3171,5539,6073,4574
-86.5981979,34.9575996,2799,5019,3953,2566,2439,2689,5010,5691,8704,5330,7564,6070,6026,6102,2683,2494,2342,2437,4353,5306,7151,7340
-86.7479019,34.9558983,4286,6376,5602,6170,5909,4988,5439,5647,5630,4611,3261,4099,4411,4189,2585,4216,5848,4427,6301,4837,5049,3960
-86.7427979,34.9558983,5991,6961,7090,6742,7782,4781,5572,6564,5544,4330,3099,7154,4699,3814,1723,2643,6538,5108,6912,6232,5597,2093
-86.740303,34.9558983,6165,6961,7019,7014,7322,4951,5918,6362,5544,4668,3099,5541,7179,2443,1680,1977,6533,6017,5604,5223,4889,2106
-86.7377014,34.9558983,5116,6841,7419,5777,5143,4872,5093,3926,6091,5261,3740,5672,5298,3146,1881,2225,4655,4532,5397,5966,3994,2115
-86.6311035,34.9556999,4332,5085,4478,2743,3186,2148,2735,7115,6232,7269,6097,4659,3919,3155,2582,4409,3666,2666,2748,5513,5138,4314
-86.6286011,34.9556007,5807,3834,5675,2034,2141,2227,2461,8754,8399,8452,5359,5303,4234,3473,2604,4979,2815,2666,2799,5699,5874,8174
-86.6260986,34.9556007,2985,3824,1798,2641,2380,2817,4087,8754,8768,8651,6245,4919,4055,3763,3127,2233,1944,3025,2745,5637,4981,7678
-86.6184998,34.9556007,2772,4916,2710,2819,2758,2917,4334,7390,7961,7413,6807,6524,6576,5773,2845,2531,2451,2409,2803,6019,7878,6750
-86.6057968,34.9556007,5306,7268,5967,4527,3535,2566,2652,4538,8440,8328,5387,2385,2330,2761,2858,5003,4596,4093,2081,4061,4800,4121
-86.6032028,34.9556007,6088,6622,6887,4028,3070,2708,2474,5159,8240,8237,7983,1944,1902,2535,2831,4596,6155,3731,1775,2567,2985,3478
-86.6007004,34.9556007,6305,6713,5810,4505,3160,2804,2551,4686,8424,7276,7362,2793,2518,2478,2783,4596,4192,3474,2447,4003,3447,4319
-86.5981979,34.9555016,4530,6713,2709,2577,2535,2911,4351,5415,8424,6545,7362,5238,4974,3379,3280,3299,4192,3474,4375,5577,5497,4319
-86.7479019,34.9538994,3765,5033,5245,5813,5721,5915,5626,5473,5256,4439,4030,4695,5514,4189,3851,4618,5499,4613,6162,5481,4842,3911
